function,n,seed,ref_sec_best,numbatalib_sec_best,ratio_numbatalib_over_ref,kwargs
ACCBANDS,30000,123,0.00015490001533180475,0.0001286999904550612,0.8308584746062059,{'timeperiod': 4}
AVGDEV,30000,123,7.27999722585082e-05,0.00010599999222904444,1.4560444041468177,{'timeperiod': 3}
IMI,30000,123,0.00020700000459328294,0.00025179999647662044,1.2164250767595937,{'timeperiod': 4}
